PCT Code,PCT Description,Total expected - Major Amputation,Observed - Major Amputation,Standardised ratio,Standardised ratio lower 95% confidence interval,Standardised ratio upper 95% confidence interval,Additional risk of complication among people with diabetes
5PP,Cambridgeshire PCT,5,18,393,233,622,2.93
5PQ,Norfolk PCT,6,22,372,233,563,2.72
5PR,Great Yarmouth & Waveney PCT,3,8,261,113,515,1.61
5PT,Suffolk PCT,6,16,287,164,466,1.87
5PV,West Essex PCT,*,*, * , * , * ,*
5PW,North East Essex PCT,4,19,521,314,814,4.21
5PX,Mid Essex PCT,4,12,303,157,529,2.03
5PY,South West Essex PCT,3,11,343,171,615,2.43
5QA,Eastern & Coastal Kent PCT,9,30,339,228,483,2.39
5QC,Hampshire PCT,7,31,416,282,590,3.16
5QD,Buckinghamshire PCT,4,11,304,152,545,2.04
5QE,Oxfordshire PCT,3,14,420,230,705,3.20
5QF,Berkshire West PCT,3,7,259,104,533,1.59
5QG,Berkshire East PCT,4,14,333,182,558,2.33
5QH,Gloucestershire PCT,7,21,281,174,430,1.81
5QJ,Bristol PCT,4,11,259,129,464,1.59
5QK,Wiltshire PCT,5,19,413,248,645,3.13
5QL,Somerset PCT,9,35,386,269,537,2.86
5QM,Dorset PCT,4,24,546,350,812,4.46
5QN,Bournemouth & Poole PCT,4,16,365,209,593,2.65
5QP,Cornwall & Isles of Scilly PCT,3,16,497,284,807,3.97
5QQ,Devon PCT,7,28,381,253,550,2.81
5QR,Redcar & Cleveland PCT,2,6,269,99,585,1.69
5QT,Isle of Wight National Health Service PCT,*,*, * , * , * ,*
5QV,Hertfordshire PCT,7,27,365,241,532,2.65
TAC,Northumberland Care Trust,5,13,274,146,469,1.74
TAK,Bexley Care Trust,2,6,247,91,537,1.47
TAL,Torbay Care Trust,*,*, * , * , * ,*
TAM,Solihull Care Trust,*,*, * , * , * ,*
TAN,North East Lincolnshire Care Trust Plus,2,12,520,269,908,4.20
TAP,Blackburn and Darwen Teaching PCT Plus,3,9,260,119,494,1.60
